productId,platform,platformProductId,productName,baseSkinType,recommendationScore,imageStatus
545,musinsa,4502057,[콜라보] 블랙헤드 세라마이드 유자 힐링 클렌징 밤 135ml+여행용 10g+헤어핀 굿즈,건성,99.4,found
733,musinsa,3373309,[SET] 다이브인 저분자 히알루론산 스킨부스터 200ml  x 2개,건성,99.36,found
1005,musinsa,6330696,저분자 히알루론산 선 에센스 40ml [SPF50+/PA++++],건성,99.18,found
581,musinsa,5115013,바디로션 300ml (3종 택1) +(증정) 고체향수키링 레몬비누향,건성,99.12,found
691,musinsa,3341873,슬리피 200ml - 바디 스프레이(트와일라잇),건성,99.1,found
1379,musinsa,3327139,서렌 바디오일 라벤더 & 마조람 100ML,건성,99.0,found
325,musinsa,5162917,[100분 타임어택] 팡팡 선쿠션 미니 본품 8g,건성,98.99,found
377,musinsa,3339089,마스크 오브 매그너민티 125g - 파워 마스크/페이스 앤 바디 마스크 팩,건성,98.98,found
781,musinsa,4942279,수분초 히알루론 선세럼 워터리 튜브 SPF50+ PA++++ 50ml(+선크림 3EA 랜덤 증정),건성,98.94,found
899,musinsa,2231974,[증정] 튼살 붉은선 개선 저자극튼살크림 330ml,건성,98.9,found
280,musinsa,3735818,[증정] 무향 100시간 보습 세라마이드 아토 로션 564ml 2입,건성,98.83,found
650,musinsa,4069040,1번 청초 진정맑은 물막선크림 50ml SPF50+ PA++++,건성,98.82,found
883,musinsa,3674930,다이브인 저분자 히알루론산 수딩크림 80ml,건성,98.82,found
265,musinsa,5066205,데일리 UV 수분장벽 선세럼 SPF50+ PA++++ 50mL 2개,건성,98.78,found
437,musinsa,3124238,에이시카 365 크림 pH4.5 60ml,건성,98.71,found
698,musinsa,5047443,[2PACK] 아쿠아 스쿠알란 세럼 70ml,민감성,99.33,found
267,musinsa,2605792,[증정] 무향 100시간 보습 세라마이드 아토 로션 350ml 2입,민감성,99.3,found
383,musinsa,5367381,히어로 마이 퍼스트 세럼 a.k.a. 만능기초 155ml,민감성,99.03,found
474,musinsa,3393804,수딩 알로에 베라 젤 500ML,민감성,98.69,found
246,musinsa,3748858,[무신사 단독] [2pack] 소나무 진정 시카 앰플 대용량 50ml (+동백 선세럼 7ml + 소나무 마스크 1매),민감성,98.44,found
497,musinsa,4243146,울트라 라이트 인비저블 선세럼 50ml  SPF50+ PA++++,민감성,98.27,found
297,musinsa,2172337,아토베리어365 로션 150ml,민감성,97.91,found
282,musinsa,3874820,[페이스&바디클렌저]티트리 퓨어 캐스틸 솝 950ml,민감성,97.72,found
560,musinsa,3814783,크림스컴트루 스쿠알란 배리어 리페어크림 50ml,민감성,97.5,found
366,musinsa,2775186,어드밴스드 더 비타민씨 23 세럼,민감성,95.39,
559,oliveyoung,A000000232971,[7년 연속 1위] 아이디얼포맨 퍼펙트 올인원 150ml 단품/기획,민감성,95.23,
440,musinsa,5371586,비건 릴리프 무기자차 선크림 50ml (5ml 2개 증정),민감성,94.62,
1057,oliveyoung,A000000140820,[긴급진정]차앤박(CNP) 퀵수딩 S.O.S 마스크 트리플 기획 (본품1매x3+1매 증정),민감성,92.58,
741,oliveyoung,A000000205830,[쿨링진정/화해1위 화잘먹 토너패드] 에스네이처 아쿠아 오아시스 판테알란 카밍패드 60매,민감성,90.21,
1061,oliveyoung,A000000188019,[1매/5종] 아비브 껌딱지 시트 마스크 스티커 1매 (어성초/수분초/마데카소사이드/콜라겐밀크/비타),민감성,87.83,
1446,oliveyoung,A000000253919,쥬베룩 PDLLA 콜라겐 부스팅 마스크 4매,복합성,99.82,found
730,musinsa,3324516,그린티 허니드롭스 바디크림 500ml,복합성,99.77,found
348,musinsa,6299094,액티브 스웨트프루프 선스틱 + 쿨 데오 샤워티슈 1매,복합성,99.76,found
580,musinsa,3063032,비건 릴리프 워터 에센스 선크림,복합성,99.73,found
978,musinsa,6261460,[SET] 아쿠아 퓨어 히알루로닉 크림  2개 + 세럼 2개 (증정: 멀티 히알루론산 마스크 5매),복합성,99.63,found
1139,musinsa,3202723,TYPE No.91 원더바이브 핸드워시 350ml,복합성,99.6,found
707,musinsa,4791073,[사은품 증정] (대용량) 그린티 씨드 히알루론산 크림 80mL + 15mL 2개 + 화산송이 폼 30g 1개,복합성,99.44,found
1416,musinsa,6239431,라이스 토너 150ml,복합성,99.4,found
1272,oliveyoung,A000000254114,[포켓몬 에디션] AHC 프로샷 아이크림 포페이스 30ml 기획 (+세럼 10ml+피카츄 액정클리너),복합성,99.39,found
1528,musinsa,5289207,스토미 웨더 200ml - 보디 스프레이,복합성,99.37,found
327,musinsa,6332438,비욘드 딥모이스처 스무딩 바디에멀전 500ml,복합성,99.35,found
1348,musinsa,4983383,브리즈핏 톤업 선베이스,복합성,99.35,found
1094,musinsa,2626564,프레쉬모이스춰 바디워시 500ml 2입,복합성,99.32,found
232,musinsa,5848372,리얼 히알루로닉 100 토너 500ml,복합성,99.29,found
770,musinsa,5006417,데일리 모이스처 바디로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,복합성,99.23,found
933,oliveyoung,A000000250048,[NEW/키링증정] 토코보 미니 선스틱 11g 기획 3종 SPF50+ PA++++,중성,77.68,
419,oliveyoung,A000000254466,[NEW/단독선런칭] 바이오던스 리포좀 버블 부스터 95ml 2종 택 1 (콜라겐/캐비어 PDRN),중성,52.88,
913,oliveyoung,A000000211170,[단독기획/추가증정] 셀리맥스 시카 지우개 패드 60+20매 기획세트,중성,47.0,
958,oliveyoung,A000000202678,[블랙헤드 쏙] 바닐라코 클린잇제로 포어클래리파잉 클렌징밤 100ml,중성,45.48,
640,oliveyoung,A000000230821,[수분민감/미세먼지OUT] 라곰 셀럽 마이크로 폼 클렌저 2종 택 1,중성,44.81,
537,oliveyoung,A000000232494,[단독기획] 아누아 어성초 센텔라 레드 스팟 크림 30g 2입,중성,43.12,
683,oliveyoung,A000000226553,[유수분밸런스]브링그린 티트리 시카 수딩 크림 플러스 100ml (2입/단품),중성,43.11,
368,oliveyoung,A000000231589,[5월 올영픽][대용량] 제로이드 수딩 크림 80ml 기획 (+50ml),중성,42.87,
931,oliveyoung,A000000222790,아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,중성,40.42,
361,oliveyoung,A000000229695,[장도연 PICK/초밀착 세럼팩] 메디힐 랩핑 세럼 마스크 10매 6종,중성,25.73,
743,oliveyoung,A000000255622,[짜서쓰는클밤/쫀쫀모공] 네시픽 라이스 펩타 콜라겐 샤베트 클렌징밤 80g,지성,99.77,found
476,musinsa,5859496,[옵션선택] 코튼풋 발을씻자 풋샴푸 510ml 2개 + 리필 500ml 1개,지성,99.62,found
1052,oliveyoung,A000000254773,쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g (+프로텍팅 크림 2ml*5EA) (2604),지성,99.6,found
807,oliveyoung,A000000254492,[NEW/단독선런칭] 바이오던스 아이패치 60매 2종 택 1 (콜라겐/캐비어 PDRN),지성,99.57,found
1178,oliveyoung,A000000247859,[성한빈 PICK] 원더바스 레몬청 팩클렌저 200ml 기획 (+50ml),지성,99.54,found
665,musinsa,5006552,프레쉬 모이스처 바디 로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,지성,99.24,found
1201,oliveyoung,A000000233337,[수분진정/광채캡슐크림] 션리 다시마 글레이즈드 크림 50g,지성,99.19,found
228,oliveyoung,A000000254406,NEW[파데프리/톤업선/톤업선크림] 체이싱래빗 올어바웃 글로우 톤업 선 70ml,지성,99.17,found
1229,musinsa,5187779,퍼펙트 UV 선스크린 스킨케어 밀크 NA 60ml,지성,99.17,found
681,oliveyoung,A000000225083,수이사이 뷰티 클리어 그린/핑크 파우더워시 4종 택1 (15개입/32개입),지성,99.13,found
480,musinsa,4002714,베드타임 로션 500ml x2,지성,99.12,found
464,musinsa,4504075,퍼퓸 바디 스프레이 200ml 4종 중 택1 (로즈/오션/레더/우디 향),지성,99.09,found
703,musinsa,5006445,세라엠디 리페어 로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,지성,99.06,found
233,musinsa,4485242,[보이넥스트도어 PICK] 니치퍼퓸 핸드크림 월넛크릭그린,지성,99.02,found
1045,oliveyoung,A000000255059,[6월올영픽/쿨링진정패드] 빌리프 아쿠아 밤 프로즌 프렙 패드 60매 기획 (+30매 리필 증정),지성,99.02,found
